county,county_std,total,value_used,centered_value,lag_centered_value,local_I,z_score,p_value,lisa_class,variable
Elmore,ELMORE,31,3.4657359027997265,1.7277955967798824,0.6765222250502857,0.609840704264615,1.2113279198401787,0.22576975237438288,Not significant,log1p_total
Baldwin,BALDWIN,18,2.9444389791664403,1.206498673146596,-0.42376371355192727,-0.2667427297335456,-0.6187756771780155,0.5360641476156318,Not significant,log1p_total
Montgomery,MONTGOMERY,26,3.295836866004329,1.557896559984485,0.4194445858879968,0.34092212608506045,0.7615493450815509,0.4463290172977074,Not significant,log1p_total
Houston,HOUSTON,66,4.204692619390966,2.4667523133711216,1.0040096864371775,1.2921276613968076,1.8384179139011558,0.06600084742106209,Not significant,log1p_total
Jackson,JACKSON,0,0,-1.7379403060198442,-1.102329539950255,0.9995126107622999,1.8684762541259015,0.06169571697077402,Not significant,log1p_total
Lauderdale,LAUDERDALE,0,0,-1.7379403060198442,-1.322051997683877,1.1987410260530234,2.1904058398537147,0.02849481687500509,Low-Low,log1p_total
DeKalb,DEKALB,0,0,-1.7379403060198442,-0.6418125213514458,0.5819491228229873,1.1961729104351997,0.23162908988462555,Not significant,log1p_total
Dallas,DALLAS,0,0,-1.7379403060198442,0.19244859932019992,-0.1744984552920184,-0.24812387000982244,0.8040385673910366,Not significant,log1p_total
Clay,CLAY,17,2.8903717578961645,1.1524314518763203,1.0579423998269981,0.6360907823823262,1.7375535925537209,0.08228950303388319,Not significant,log1p_total
Morgan,MORGAN,0,0,-1.7379403060198442,-0.7675342532359208,0.6959444861977909,1.2483190927386778,0.2119142249260941,Not significant,log1p_total
Geneva,GENEVA,16,2.833213344056216,1.095273038036372,1.2783055415041273,0.7304643838703503,2.1690965979075663,0.030075350938336423,High-High,log1p_total
Lee,LEE,59,4.0943445622221,2.3564042562022562,0.9902454086330548,1.2174036871660001,1.776623847904919,0.07563014922468259,Not significant,log1p_total
Fayette,FAYETTE,0,0,-1.7379403060198442,-0.30577112468698436,0.27725111598243507,0.595516402532854,0.5514983382638938,Not significant,log1p_total
Coffee,COFFEE,20,3.044522437723423,1.3065821317035788,1.236043722770686,0.8425826747535616,2.013396334365098,0.04407295093589086,High-High,log1p_total
Tuscaloosa,TUSCALOOSA,0,0,-1.7379403060198442,-0.08604866695336244,0.07802270069171163,0.20983015664379184,0.8338002353789604,Not significant,log1p_total
Cleburne,CLEBURNE,4,1.6094379124341003,-0.1285023935857439,0.9058851031474833,-0.06073322063642415,-1.4566753563345358,0.14520601548267736,Not significant,log1p_total
Macon,MACON,5,1.791759469228055,0.053819163208210785,1.400499541575683,0.03932438042442347,2.251374898877357,0.024361802572716217,High-High,log1p_total
St. Clair,STCLAIR,32,3.4965075614664802,1.758567255446636,1.0124460092444365,0.9289082756493745,1.7154731602238942,0.0862585121375424,Not significant,log1p_total
Chilton,CHILTON,2,1.0986122886681096,-0.6393280173517346,0.5466423392319961,-0.18233455439493665,-0.875465355611115,0.38132075261781884,Not significant,log1p_total
Dale,DALE,19,2.995732273553991,1.2577919675341467,1.2458017556045724,0.8175225340560646,2.0356755079377766,0.0417829500471045,High-High,log1p_total
Cherokee,CHEROKEE,5,1.791759469228055,0.053819163208210785,-0.4139256647137729,-0.01162254597264867,-0.640654385499446,0.5217472564264776,Not significant,log1p_total
Marengo,MARENGO,0,0,-1.7379403060198442,-1.0212365183286223,0.9259833304353847,1.7501305241801088,0.08009579374716914,Not significant,log1p_total
Calhoun,CALHOUN,14,2.70805020110221,0.9701098950823659,1.0271122638615464,0.5198533249289293,1.6485512308813763,0.09923960694282874,Not significant,log1p_total
